"","...1","LLAVEVIV","HOGAR","H18A_ESTU","H18B_REFR","H18C_LAVA","H18D_MCOS","H18E_ABAN","H18F_AIRE","H18G_RADI","H18H_TRES","H18I_TCEL","H18J_TV","H18K_COMP","H18L_INTER","H18M_AUTO","V03_TENE","V11_SANIT","id_hogar","vivienda_propia","alcantarillado","casa_propiacon_alcantarillado"
"61",61,"1150521",1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,61,1,1,1
"62",62,"1088719",1,1,1,1,0,1,1,0,0,1,1,1,1,1,3,1,62,1,1,1
"63",63,"1218167",1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,63,0,1,0
"64",64,"1302125",1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3,64,1,0,0
"65",65,"1106314",1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,65,0,1,0
"66",66,"1402366",1,1,1,1,1,1,0,0,0,1,1,1,1,1,3,2,66,1,0,0
"67",67,"0835113",1,1,1,0,1,1,0,0,0,1,1,0,0,0,3,2,67,1,0,0
"68",68,"1427901",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,68,1,1,1
"69",69,"0403814",1,1,1,1,1,1,0,1,0,1,1,1,1,1,3,2,69,1,0,0
"70",70,"0061714",1,1,1,1,0,1,0,0,0,1,1,1,1,0,3,1,70,1,1,1
"71",71,"0972784",1,1,1,1,1,1,0,1,0,1,1,1,1,1,3,2,71,1,0,0
"72",72,"0096649",1,1,1,0,0,0,0,0,0,1,1,0,0,1,3,3,72,1,0,0
"73",73,"0476765",1,1,1,0,0,1,0,0,0,1,1,0,0,0,2,1,73,0,1,0
"74",74,"0021930",1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,74,1,0,0
"75",75,"0171186",1,1,1,1,0,1,0,1,0,1,1,0,1,1,3,2,75,1,0,0
"76",76,"1203239",1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,3,76,1,0,0
"77",77,"0108755",1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,3,77,1,0,0
"78",78,"1080162",1,1,1,1,1,1,0,1,0,1,1,1,1,0,4,1,78,0,1,0
"79",79,"1587347",1,1,1,1,1,1,0,0,0,0,1,0,0,0,3,2,79,1,0,0
"80",80,"0277135",1,1,1,1,0,1,0,1,1,1,1,1,1,0,2,2,80,0,0,0
"81",81,"0840469",1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,81,0,1,0
"82",82,"0669937",1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,82,1,1,1
"83",83,"0529445",1,1,1,1,0,1,0,0,0,1,1,0,1,0,3,2,83,1,0,0
"84",84,"0456537",1,1,1,1,0,1,0,1,0,1,1,0,1,0,3,2,84,1,0,0
"85",85,"1413178",1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,85,0,1,0
"86",86,"0471653",1,1,1,1,0,1,0,1,0,1,1,0,0,0,3,3,86,1,0,0
"87",87,"0493053",1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,87,1,1,1
"88",88,"0134779",2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,88,1,0,0
"89",89,"1245988",1,1,0,0,0,0,0,1,0,1,0,0,1,0,3,3,89,1,0,0
"90",90,"1566584",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,90,0,1,0
"91",91,"0160563",1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,91,0,1,0
"92",92,"1216914",1,1,0,0,0,1,0,1,0,0,1,0,0,0,3,2,92,1,0,0
"93",93,"0341195",1,1,1,1,0,1,1,1,1,1,1,0,1,0,3,2,93,1,0,0
"94",94,"0696389",1,1,1,1,0,1,1,0,0,1,1,1,1,1,2,1,94,0,1,0
"95",95,"1218296",1,1,1,1,1,1,0,0,1,1,1,0,1,1,3,2,95,1,0,0
"96",96,"0964341",1,1,1,1,0,1,0,1,1,1,1,1,1,1,2,1,96,0,1,0
"97",97,"1435601",1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,97,0,1,0
"98",98,"1388408",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,98,0,1,0
"99",99,"1093058",1,1,1,1,0,1,0,1,1,1,1,1,1,1,3,1,99,1,1,1
"100",100,"1378397",1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,2,100,1,0,0
"101",101,"0357416",1,1,1,1,1,1,0,0,1,1,1,1,1,0,3,2,101,1,0,0
"102",102,"0364442",1,1,1,1,1,1,0,1,0,1,1,1,1,0,2,2,102,0,0,0
"103",103,"1246550",1,1,1,1,0,1,0,0,0,1,1,1,0,0,3,2,103,1,0,0
"104",104,"0697013",1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,104,0,1,0
"105",105,"0111127",1,1,1,1,1,1,0,0,0,1,1,1,1,0,3,1,105,1,1,1
"106",106,"0155468",1,1,1,1,0,1,0,0,0,1,1,0,1,1,2,2,106,0,0,0
"107",107,"0618718",1,1,1,1,0,1,1,1,0,1,1,0,0,0,3,1,107,1,1,1
"108",108,"1212820",1,1,1,1,0,1,0,0,0,1,1,1,1,0,3,2,108,1,0,0
"109",109,"1151192",1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,109,1,1,1
"110",110,"0864732",1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,110,0,1,0
"111",111,"1238101",1,1,1,1,1,1,0,1,1,1,1,0,1,1,3,2,111,1,0,0
"112",112,"0342144",1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,2,112,0,0,0
"113",113,"0972236",1,1,1,1,0,1,0,0,0,1,1,1,1,1,3,2,113,1,0,0
"114",114,"0800572",1,1,1,1,0,1,0,1,0,1,1,1,1,0,3,3,114,1,0,0
"115",115,"0031319",1,1,0,1,0,1,0,0,0,0,1,0,0,0,2,1,115,0,1,0
"116",116,"1117646",1,1,1,1,1,1,0,1,0,1,1,0,1,0,3,1,116,1,1,1
"117",117,"1106665",1,1,1,1,0,1,1,0,1,1,1,0,1,1,3,1,117,1,1,1
"118",118,"0292678",1,1,1,1,0,0,0,0,0,1,1,1,1,1,3,2,118,1,0,0
"119",119,"0641876",1,1,1,1,0,1,0,1,0,1,1,0,0,0,3,1,119,1,1,1
"120",120,"0619505",1,1,1,1,0,1,0,1,0,1,1,0,1,0,2,1,120,0,1,0
"121",121,"0282918",1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,121,1,0,0
"122",122,"1245889",1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,2,122,1,0,0
"123",123,"0907813",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,123,0,1,0
"124",124,"1113526",1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1,124,1,1,1
"125",125,"0316722",1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,2,125,0,0,0
"126",126,"0144603",1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,126,1,0,0
"127",127,"0337845",1,1,1,0,1,1,0,0,0,1,1,0,0,0,4,4,127,0,0,0
"128",128,"0486059",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,128,0,1,0
"129",129,"1170912",1,1,0,1,0,0,0,1,0,1,0,0,1,0,3,2,129,1,0,0
"130",130,"0207890",1,1,1,1,0,1,0,0,0,1,1,0,0,0,3,2,130,1,0,0
"131",131,"1595236",1,1,0,1,0,0,0,0,0,1,1,0,0,0,3,3,131,1,0,0
"132",132,"1221011",1,1,1,1,0,1,0,1,0,1,1,0,0,0,2,2,132,0,0,0
"133",133,"1328966",1,1,1,1,1,1,0,1,0,1,1,0,1,0,3,2,133,1,0,0
"134",134,"1040662",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,134,0,1,0
"135",135,"0400668",1,1,1,1,0,1,0,1,0,1,1,0,1,0,3,2,135,1,0,0
"136",136,"1010121",1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,136,0,1,0
"137",137,"0438238",1,1,1,1,1,1,0,1,0,1,0,0,0,0,3,2,137,1,0,0
"138",138,"1155851",1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,138,1,1,1
"139",139,"0644196",1,1,1,1,1,1,1,1,1,0,1,0,1,0,3,1,139,1,1,1
