"","id_hogar","H18A_ESTU","H18B_REFR","H18C_LAVA","H18D_MCOS","H18E_ABAN","H18F_AIRE","H18G_RADI","H18H_TRES","H18I_TCEL","H18J_TV","H18K_COMP","H18L_INTER","H18M_AUTO","nse","se_nse"
"65",65,1,1,1,0,1,1,0,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"66",66,1,1,1,1,1,0,0,0,1,1,1,1,1,0.483997796883287,0.396391727632507
"67",67,1,1,0,1,1,0,0,0,1,1,0,0,0,-0.760749723001706,0.284889649888758
"68",68,1,1,1,1,1,1,1,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"69",69,1,1,1,1,1,0,1,0,1,1,1,1,1,0.483997796883287,0.396391727632507
"70",70,1,1,1,0,1,0,0,0,1,1,1,1,0,0.14228569790756,0.384735241512311
"71",71,1,1,1,1,1,0,1,0,1,1,1,1,1,0.483997796883287,0.396391727632507
"72",72,1,1,0,0,0,0,0,0,1,1,0,0,1,-0.728417622665574,0.290949168282669
"73",73,1,1,0,0,1,0,0,0,1,1,0,0,0,-0.760749723001706,0.284889649888758
"74",74,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.71357479197151,0.346669676424292
"75",75,1,1,1,0,1,0,1,0,1,1,0,1,1,0.123045429190359,0.38446997596849
"76",76,1,0,0,0,0,0,1,0,0,0,0,0,0,-1.71357479197151,0.346669676424292
"77",77,0,0,0,0,0,0,1,0,0,0,0,1,0,-1.88576656392663,0.365855857795688
"78",78,1,1,1,1,1,0,1,0,1,1,1,1,0,0.14228569790756,0.384735241512311
"79",79,1,1,1,1,1,0,0,0,0,1,0,0,0,-0.687009380363893,0.299069541076911
"80",80,1,1,1,0,1,0,1,1,1,1,1,1,0,0.401569904625415,0.39168451516775
"81",81,1,1,1,0,1,1,1,0,1,1,0,1,1,0.495401488493232,0.397170670532923
"82",82,1,1,1,0,1,1,1,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"83",83,1,1,1,0,1,0,0,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"84",84,1,1,1,0,1,0,1,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"85",85,1,1,1,0,1,1,0,0,1,1,1,1,1,0.914702356886305,0.450936750610379
"86",86,1,1,1,0,1,0,1,0,1,1,0,0,0,-0.475733777914441,0.340218485421645
"87",87,1,0,0,0,0,0,1,0,0,0,0,0,0,-1.71357479197151,0.346669676424292
"88",88,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.8906348664113,0.366413544773042
"89",89,1,0,0,0,0,0,1,0,1,0,0,1,0,-1.30274163207376,0.280042024080097
"90",90,1,1,1,0,1,1,1,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"91",91,1,1,1,0,1,1,0,0,1,1,1,1,1,0.914702356886305,0.450936750610379
"92",92,1,0,0,0,1,0,1,0,0,1,0,0,0,-1.25905332105068,0.273160490182688
"93",93,1,1,1,0,1,1,1,1,1,1,0,1,0,0.412702984389735,0.392229961660112
"94",94,1,1,1,0,1,1,0,0,1,1,1,1,1,0.914702356886305,0.450936750610379
"95",95,1,1,1,1,1,0,0,1,1,1,0,1,1,0.381654124123833,0.390774417170839
"96",96,1,1,1,0,1,0,1,1,1,1,1,1,1,0.773633666125359,0.42716685784914
"97",97,1,1,1,0,1,1,1,0,1,1,0,1,0,0.153011904568361,0.38488664112875
"98",98,1,1,1,0,1,1,1,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"99",99,1,1,1,0,1,0,1,1,1,1,1,1,1,0.773633666125359,0.42716685784914
"100",100,1,1,1,0,1,1,1,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"101",101,1,1,1,1,1,0,0,1,1,1,1,1,0,0.401569904625415,0.39168451516775
"102",102,1,1,1,1,1,0,1,0,1,1,1,1,0,0.14228569790756,0.384735241512311
"103",103,1,1,1,0,1,0,0,0,1,1,1,0,0,-0.164615354381819,0.376347082241004
"104",104,1,1,1,0,1,1,0,0,1,1,1,1,1,0.914702356886305,0.450936750610379
"105",105,1,1,1,1,1,0,0,0,1,1,1,1,0,0.14228569790756,0.384735241512311
"106",106,1,1,1,0,1,0,0,0,1,1,0,1,1,0.123045429190359,0.38446997596849
"107",107,1,1,1,0,1,1,1,0,1,1,0,0,0,-0.154337983286555,0.376931749958893
"108",108,1,1,1,0,1,0,0,0,1,1,1,1,0,0.14228569790756,0.384735241512311
"109",109,1,1,1,0,1,1,1,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"110",110,1,1,1,0,1,1,0,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"111",111,1,1,1,1,1,0,1,1,1,1,0,1,1,0.381654124123833,0.390774417170839
"112",112,1,1,1,0,1,0,0,0,1,1,1,1,1,0.483997796883287,0.396391727632507
"113",113,1,1,1,0,1,0,0,0,1,1,1,1,1,0.483997796883287,0.396391727632507
"114",114,1,1,1,0,1,0,1,0,1,1,1,1,0,0.14228569790756,0.384735241512311
"115",115,1,0,1,0,1,0,0,0,0,1,0,0,0,-1.05743240592498,0.255854250016892
"116",116,1,1,1,1,1,0,1,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"117",117,1,1,1,0,1,1,0,1,1,1,0,1,1,0.786912313062124,0.429156166863074
"118",118,1,1,1,0,0,0,0,0,1,1,1,1,1,0.200161096139637,0.385615898306893
"119",119,1,1,1,0,1,0,1,0,1,1,0,0,0,-0.475733777914441,0.340218485421645
"120",120,1,1,1,0,1,0,1,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"121",121,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.71357479197151,0.346669676424292
"122",122,1,1,1,0,1,1,1,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"123",123,1,1,1,1,1,1,1,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"124",124,1,1,1,1,1,1,1,1,1,1,1,1,0,0.811076362396705,0.432909384552409
"125",125,1,1,1,0,1,0,0,0,1,1,1,1,1,0.483997796883287,0.396391727632507
"126",126,1,0,0,0,0,0,0,0,1,0,0,0,0,-1.48726877012134,0.313103473746974
"127",127,1,1,0,1,1,0,0,0,1,1,0,0,0,-0.760749723001706,0.284889649888758
"128",128,1,1,1,1,1,1,1,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"129",129,1,0,1,0,0,0,1,0,1,0,0,1,0,-1.09495301345677,0.256846741162055
"130",130,1,1,1,0,1,0,0,0,1,1,0,0,0,-0.475733777914441,0.340218485421645
"131",131,1,0,1,0,0,0,0,0,1,1,0,0,0,-1.04419909267816,0.255775189029732
"132",132,1,1,1,0,1,0,1,0,1,1,0,0,0,-0.475733777914441,0.340218485421645
"133",133,1,1,1,1,1,0,1,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"134",134,1,1,1,0,1,1,1,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"135",135,1,1,1,0,1,0,1,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"136",136,1,1,1,0,1,1,0,0,1,1,1,1,1,0.914702356886305,0.450936750610379
"137",137,1,1,1,1,1,0,1,0,1,0,0,0,0,-0.756177792735821,0.285727417406031
"138",138,1,1,1,0,1,1,1,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"139",139,1,1,1,1,1,1,1,1,0,1,0,1,0,0.1022101032479,0.384184696580622
"140",140,1,1,1,1,1,0,1,0,1,1,0,0,1,-0.182988790436365,0.375218447062372
"141",141,1,1,1,0,0,1,1,1,1,1,1,1,1,0.886301063690333,0.445687109784466
"142",142,1,1,1,0,1,0,1,1,1,1,0,0,0,-0.256801647825278,0.369508822388992
"143",143,1,0,0,0,0,0,0,0,1,0,0,1,0,-1.30274163207376,0.280042024080097
"144",144,1,1,1,0,0,1,1,0,1,1,1,1,1,0.578784486679642,0.40388896366335
